layer,expert,beta_global,signed_residual,absolute_residual,signed_residual_over_abs_g0_pct,ratio_deviation_percentage_points
0,1,0.25,1.4210854715202004e-14,1.4210854715202004e-14,9.543659972985335e-07,-9.54366001337803e-07
0,2,0.25,1.4210854715202004e-14,1.4210854715202004e-14,1.340356443669778e-06,-1.3403564480540808e-06
0,3,0.25,2.1316282072803006e-14,2.1316282072803006e-14,3.6236951979515974e-06,-3.623695192800369e-06
0,4,0.25,1.4210854715202004e-14,1.4210854715202004e-14,3.269252924706359e-06,-3.269252928816968e-06
0,5,0.25,3.552713678800501e-15,3.552713678800501e-15,1.3121015705173507e-06,-1.3121015740580333e-06
0,6,0.25,1.7763568394002505e-15,1.7763568394002505e-15,1.100284071341539e-06,-1.100284066524182e-06
0,7,0.25,4.263256414560601e-14,4.263256414560601e-14,5.1525119491904615e-06,-5.152511945993865e-06
0,8,0.25,-2.1316282072803006e-14,2.1316282072803006e-14,-3.4190080527668733e-06,3.419008052674144e-06
0,9,0.25,-1.3322676295501878e-15,1.3322676295501878e-15,-2.9584782313791112e-06,2.9584782339497906e-06
0,10,0.25,0.0,0.0,0.0,0.0
0,11,0.25,0.0,0.0,0.0,0.0
0,12,0.25,7.105427357601002e-15,7.105427357601002e-15,1.969092339009964e-06,-1.969092338072187e-06
0,13,0.25,-1.1368683772161603e-13,1.1368683772161603e-13,-9.091508303956397e-06,9.091508303527007e-06
0,14,0.25,1.4210854715202004e-14,1.4210854715202004e-14,2.4495673280237164e-06,-2.4495673329738565e-06
0,15,0.25,2.6645352591003757e-15,2.6645352591003757e-15,3.7679329115023587e-06,-3.7679329096818037e-06
0,16,0.25,-5.684341886080802e-14,5.684341886080802e-14,-1.628084430374611e-06,1.6280844334914946e-06
0,17,0.25,-7.105427357601002e-15,7.105427357601002e-15,-9.048646646403248e-07,9.048646631981683e-07
0,18,0.25,-1.7763568394002505e-14,1.7763568394002505e-14,-6.598119768119902e-06,6.598119767886601e-06
0,19,0.25,5.684341886080802e-14,5.684341886080802e-14,4.1937470895395195e-06,-4.193747088265809e-06
0,20,0.25,-3.552713678800501e-15,3.552713678800501e-15,-1.6133973417536326e-06,1.6133973446130767e-06
0,21,0.25,8.526512829121202e-14,8.526512829121202e-14,4.018878440340795e-06,-4.018878442479945e-06
0,22,0.25,5.329070518200751e-15,5.329070518200751e-15,2.683699499082121e-06,-2.6836995061785274e-06
0,23,0.25,0.0,0.0,0.0,0.0
0,24,0.25,-8.881784197001252e-16,8.881784197001252e-16,-5.558617365525317e-07,5.558617317547032e-07
0,25,0.25,3.552713678800501e-15,3.552713678800501e-15,2.182410400704517e-06,-2.182410398177126e-06
0,26,0.25,-4.973799150320701e-14,4.973799150320701e-14,-8.261317072040054e-06,8.261317077540298e-06
0,27,0.25,7.105427357601002e-15,7.105427357601002e-15,1.2480279286685144e-06,-1.2480279281135154e-06
0,28,0.25,1.4210854715202004e-14,1.4210854715202004e-14,1.697727727255287e-06,-1.6977277255136869e-06
0,29,0.25,2.1316282072803006e-14,2.1316282072803006e-14,8.403091127489793e-06,-8.403091129594031e-06
0,30,0.25,2.1316282072803006e-14,2.1316282072803006e-14,5.195728639978541e-06,-5.195728633111685e-06
0,31,0.25,7.105427357601002e-15,7.105427357601002e-15,9.888682312117905e-07,-9.88868237072893e-07
0,32,0.25,0.0,0.0,0.0,0.0
0,33,0.25,2.1316282072803006e-14,2.1316282072803006e-14,2.2965441756347993e-06,-2.2965441814903897e-06
0,34,0.25,4.263256414560601e-14,4.263256414560601e-14,3.0867437976719283e-06,-3.086743802782621e-06
0,35,0.25,0.0,0.0,0.0,0.0
0,36,0.25,2.220446049250313e-15,2.220446049250313e-15,2.600968829677429e-06,-2.6009688269823528e-06
0,37,0.25,2.1316282072803006e-14,2.1316282072803006e-14,3.8953011605348655e-06,-3.895301162515352e-06
0,38,0.25,7.105427357601002e-15,7.105427357601002e-15,4.6624776480821555e-06,-4.662477650185792e-06
0,39,0.25,3.552713678800501e-15,3.552713678800501e-15,1.231023101822697e-06,-1.231023105674467e-06
0,40,0.25,1.4210854715202004e-14,1.4210854715202004e-14,3.029678732867167e-06,-3.02967873722082e-06
0,41,0.25,-1.5987211554602254e-14,1.5987211554602254e-14,-7.047507498626284e-06,7.047507494917227e-06
0,42,0.25,0.0,0.0,0.0,0.0
0,43,0.25,3.552713678800501e-15,3.552713678800501e-15,2.1816678292047307e-06,-2.1816678241748377e-06
0,44,0.25,-7.105427357601002e-15,7.105427357601002e-15,-2.122588664985973e-06,2.122588668385106e-06
0,45,0.25,7.105427357601002e-15,7.105427357601002e-15,1.2762934966566982e-06,-1.2762935028831635e-06
0,46,0.25,0.0,0.0,0.0,0.0
0,47,0.25,1.2434497875801753e-14,1.2434497875801753e-14,7.982575542875576e-06,-7.982575539244863e-06
0,48,0.25,8.881784197001252e-15,8.881784197001252e-15,7.3667486300941584e-06,-7.366748633330644e-06
0,49,0.25,4.973799150320701e-14,4.973799150320701e-14,9.412629845211723e-06,-9.41262985065805e-06
0,50,0.25,1.4210854715202004e-14,1.4210854715202004e-14,1.4099732370159935e-06,-1.4099732368322293e-06
0,51,0.25,-1.4210854715202004e-14,1.4210854715202004e-14,-4.7230765742958835e-06,4.723076571622187e-06
0,52,0.25,7.105427357601002e-15,7.105427357601002e-15,2.5726217681053145e-06,-2.5726217671717677e-06
0,53,0.25,0.0,0.0,0.0,0.0
0,54,0.25,0.0,0.0,0.0,0.0
0,55,0.25,1.2434497875801753e-14,1.2434497875801753e-14,6.611398148634733e-06,-6.611398148947956e-06
0,56,0.25,7.105427357601002e-15,7.105427357601002e-15,1.4044619531537782e-06,-1.4044619547348702e-06
0,57,0.25,1.4210854715202004e-14,1.4210854715202004e-14,1.126283044750334e-06,-1.1262830383884648e-06
0,58,0.25,3.552713678800501e-14,3.552713678800501e-14,1.1005355029671757e-05,-1.1005355034399145e-05
0,59,0.25,4.263256414560601e-14,4.263256414560601e-14,7.093648838656187e-06,-7.093648832778854e-06
0,60,0.25,-5.684341886080802e-14,5.684341886080802e-14,-3.777757260358346e-06,3.7777572572395e-06
0,61,0.25,0.0,0.0,0.0,0.0
0,62,0.25,-1.4210854715202004e-14,1.4210854715202004e-14,-2.090853261325462e-06,2.0908532576413563e-06
0,63,0.25,0.0,0.0,0.0,0.0
