baseline,expert_high,expert_low,truth_high,truth_low,truth_gap,first_high,first_low,hessian_high,hessian_low,hessian_relative_error_high,hessian_relative_error_low,truth_increase_percent,first_decrease_percent,balanced_display_score,both_differences_at_least_20_percent,both_full_curves_available
first_order_abs,89,61,7.762380133093168e-08,6.004634727754968e-08,1.7577454053382006e-08,7.940589452637424e-09,1.2295768159198417e-08,7.762312037584707e-08,6.004147223848122e-08,8.772503703012861e-06,8.11879371433461e-05,29.273144579693565,35.4201433385266,0.29273144579693566,True,False
first_order_abs,51,53,5.7434612864860814e-08,4.529262818169316e-08,1.2141984683167653e-08,6.2621806740104085e-09,9.662174127456068e-09,5.743674336144977e-08,4.528903829736919e-08,3.709429702208857e-05,7.92597927762417e-05,26.807860728371956,35.18869985777038,0.26807860728371957,True,False
first_order_abs,108,61,8.226436222415004e-08,6.004634727754968e-08,2.2218014946600365e-08,9.022701896732599e-09,1.2295768159198417e-08,8.233610060415231e-08,6.004147223848122e-08,0.0008720468750100524,8.11879371433461e-05,37.00144297521211,26.61945329554095,0.2661945329554095,True,False
first_order_abs,48,43,1.7797884492162883e-08,1.3308153352114076e-08,4.4897311400488075e-09,2.291587886116275e-09,3.1135301226115074e-09,1.7798102547317285e-08,1.3306790336287122e-08,1.2251745677835771e-05,0.00010241960630378627,33.73669525182912,26.3990455889927,0.263990455889927,True,False
first_order_abs,101,61,7.64486784895922e-08,6.004634727754968e-08,1.6402331212042522e-08,9.079268414868836e-09,1.2295768159198417e-08,7.645348887308501e-08,6.004147223848122e-08,6.29230431166083e-05,8.11879371433461e-05,27.31611822485509,26.159404623478764,0.26159404623478766,True,False
first_order_abs,4,50,8.944808191514077e-08,7.102180668059992e-08,1.8426275234540856e-08,1.0925105109471644e-08,1.5356485061346346e-08,8.94635334702798e-08,7.090638831641627e-08,0.00017274328088650527,0.0016251116323006036,25.944531821624462,28.85673338770005,0.2594453182162446,True,False
first_order_abs,112,50,9.327017850629176e-08,7.102180668059992e-08,2.2248371825691844e-08,1.151465867099688e-08,1.5356485061346346e-08,9.327463601493946e-08,7.090638831641627e-08,4.779135967236615e-05,0.0016251116323006036,31.326113577689576,25.01761552205516,0.2501761552205516,True,False
first_order_abs,85,100,8.524151710702273e-08,6.780699859506189e-08,1.7434518511960844e-08,9.493916364178289e-09,1.2649099589978618e-08,8.523826977580029e-08,6.780321371024911e-08,3.809565259570081e-05,5.5818497960348926e-05,25.711974977801976,24.943935363589485,0.24943935363589487,True,False
first_order_abs,109,32,4.9944298504261063e-08,3.889107321269704e-08,1.1053225291564022e-08,5.029720950844307e-09,6.693580612004979e-09,4.994455338191983e-08,3.889088873165747e-08,5.103238335535275e-06,4.7435317241855306e-06,28.420982962114284,24.857542735446092,0.24857542735446092,True,False
first_order_abs,70,69,5.140813809835442e-08,4.126403798840492e-08,1.0144100109949496e-08,5.444629203044115e-09,7.323551998172916e-09,5.140811509818377e-08,4.126890118527626e-08,4.4740330031152993e-07,0.00011785557372515352,24.583391748524374,25.655894784355404,0.24583391748524375,True,False
