timestamp,index,memory_used_mib,memory_total_mib,utilization_gpu_percent,power_watts
2026/09/24 20:13:28.521, 0, 0, 97871, 0, 74.31
2026/09/24 20:13:28.525, 1, 0, 97871, 0, 75.22
2026/09/24 20:13:28.528, 2, 0, 97871, 0, 75.41
2026/09/24 20:13:28.531, 3, 0, 97871, 0, 95.90
2026/09/24 20:13:28.735, 0, 0, 97871, 0, 73.54
2026/09/24 20:13:28.735, 1, 0, 97871, 0, 74.95
2026/09/24 20:13:28.735, 2, 0, 97871, 0, 75.18
2026/09/24 20:13:28.735, 3, 0, 97871, 0, 86.79
2026/09/24 20:13:28.935, 0, 0, 97871, 0, 73.32
2026/09/24 20:13:28.935, 1, 0, 97871, 0, 74.72
2026/09/24 20:13:28.935, 2, 0, 97871, 0, 74.98
2026/09/24 20:13:28.935, 3, 0, 97871, 0, 78.51
2026/09/24 20:13:29.135, 0, 0, 97871, 0, 73.08
2026/09/24 20:13:29.135, 1, 0, 97871, 0, 74.61
2026/09/24 20:13:29.135, 2, 0, 97871, 0, 74.76
2026/09/24 20:13:29.135, 3, 0, 97871, 0, 75.50
2026/09/24 20:13:29.335, 0, 0, 97871, 0, 72.97
2026/09/24 20:13:29.335, 1, 0, 97871, 0, 74.42
2026/09/24 20:13:29.335, 2, 0, 97871, 0, 74.63
2026/09/24 20:13:29.335, 3, 0, 97871, 0, 75.27
2026/09/24 20:13:29.536, 0, 0, 97871, 0, 72.81
2026/09/24 20:13:29.536, 1, 0, 97871, 0, 74.21
2026/09/24 20:13:29.536, 2, 0, 97871, 0, 74.50
2026/09/24 20:13:29.536, 3, 0, 97871, 0, 75.08
2026/09/24 20:13:29.736, 0, 0, 97871, 0, 72.77
2026/09/24 20:13:29.736, 1, 0, 97871, 0, 74.10
2026/09/24 20:13:29.736, 2, 0, 97871, 0, 74.44
2026/09/24 20:13:29.736, 3, 0, 97871, 0, 74.90
2026/09/24 20:13:29.936, 0, 0, 97871, 0, 72.68
2026/09/24 20:13:29.936, 1, 0, 97871, 0, 74.04
2026/09/24 20:13:29.936, 2, 0, 97871, 0, 74.40
2026/09/24 20:13:29.936, 3, 0, 97871, 0, 74.76
2026/09/24 20:13:30.136, 0, 0, 97871, 0, 72.73
2026/09/24 20:13:30.136, 1, 0, 97871, 0, 73.99
2026/09/24 20:13:30.136, 2, 0, 97871, 0, 74.42
