timestamp,index,memory_used_mib,memory_total_mib,utilization_gpu_percent,power_watts
2026/09/26 00:44:59.674, 0, 0, 97871, 0, 74.81
2026/09/26 00:44:59.678, 1, 0, 97871, 0, 77.37
2026/09/26 00:44:59.681, 2, 0, 97871, 0, 76.12
2026/09/26 00:44:59.685, 3, 0, 97871, 0, 76.74
2026/09/26 00:44:59.888, 0, 0, 97871, 0, 74.55
2026/09/26 00:44:59.888, 1, 0, 97871, 0, 77.13
2026/09/26 00:44:59.888, 2, 0, 97871, 0, 75.87
2026/09/26 00:44:59.889, 3, 0, 97871, 0, 76.66
2026/09/26 00:45:00.089, 0, 0, 97871, 0, 74.31
2026/09/26 00:45:00.089, 1, 0, 97871, 0, 76.93
2026/09/26 00:45:00.089, 2, 0, 97871, 0, 75.71
2026/09/26 00:45:00.089, 3, 0, 97871, 0, 76.62
2026/09/26 00:45:00.289, 0, 0, 97871, 0, 74.09
2026/09/26 00:45:00.289, 1, 0, 97871, 0, 76.75
2026/09/26 00:45:00.289, 2, 0, 97871, 0, 75.57
2026/09/26 00:45:00.289, 3, 0, 97871, 0, 76.59
2026/09/26 00:45:00.489, 0, 0, 97871, 0, 73.90
2026/09/26 00:45:00.489, 1, 0, 97871, 0, 76.61
2026/09/26 00:45:00.489, 2, 0, 97871, 0, 75.43
2026/09/26 00:45:00.489, 3, 0, 97871, 0, 76.59
2026/09/26 00:45:00.689, 0, 0, 97871, 0, 73.75
2026/09/26 00:45:00.689, 1, 0, 97871, 0, 76.51
2026/09/26 00:45:00.689, 2, 0, 97871, 0, 75.37
2026/09/26 00:45:00.689, 3, 0, 97871, 0, 76.56
2026/09/26 00:45:00.889, 0, 0, 97871, 0, 73.64
2026/09/26 00:45:00.889, 1, 0, 97871, 0, 76.47
2026/09/26 00:45:00.889, 2, 0, 97871, 0, 75.36
2026/09/26 00:45:00.889, 3, 0, 97871, 0, 76.54
2026/09/26 00:45:01.089, 0, 0, 97871, 0, 73.59
2026/09/26 00:45:01.089, 1, 0, 97871, 0, 76.44
2026/09/26 00:45:01.089, 2, 0, 97871, 0, 75.34
2026/09/26 00:45:01.089, 3, 0, 97871, 0, 76.52
2026/09/26 00:45:01.289, 0, 0, 97871, 0, 73.56
2026/09/26 00:45:01.290, 1, 0, 97871, 0, 76.43
2026/09/26 00:45:01.290, 2, 0, 97871, 0, 75.26
2026/09/26 00:45:01.290, 3, 0, 97871, 0, 76.48
2026/09/26 00:45:01.490, 0, 0, 97871, 0, 73.56
2026/09/26 00:45:01.490, 1, 0, 97871, 0, 76.42
2026/09/26 00:45:01.490, 2, 0, 97871, 0, 75.29
2026/09/26 00:45:01.490, 3, 0, 97871, 0, 76.45
2026/09/26 00:45:01.690, 0, 0, 97871, 0, 73.58
2026/09/26 00:45:01.690, 1, 0, 97871, 0, 76.43
2026/09/26 00:45:01.690, 2, 0, 97871, 0, 75.29
2026/09/26 00:45:01.690, 3, 0, 97871, 0, 76.44
2026/09/26 00:45:01.890, 0, 0, 97871, 0, 73.56
2026/09/26 00:45:01.890, 1, 0, 97871, 0, 76.41
2026/09/26 00:45:01.890, 2, 0, 97871, 0, 75.25
2026/09/26 00:45:01.890, 3, 0, 97871, 0, 76.42
2026/09/26 00:45:02.090, 0, 0, 97871, 0, 73.55
2026/09/26 00:45:02.090, 1, 0, 97871, 0, 76.38
2026/09/26 00:45:02.090, 2, 0, 97871, 0, 75.23
2026/09/26 00:45:02.090, 3, 0, 97871, 0, 76.41
2026/09/26 00:45:02.290, 0, 0, 97871, 0, 73.53
2026/09/26 00:45:02.290, 1, 0, 97871, 0, 76.36
2026/09/26 00:45:02.290, 2, 0, 97871, 0, 75.27
2026/09/26 00:45:02.290, 3, 0, 97871, 0, 76.41
2026/09/26 00:45:02.490, 0, 0, 97871, 0, 73.53
2026/09/26 00:45:02.490, 1, 0, 97871, 0, 76.33
2026/09/26 00:45:02.490, 2, 0, 97871, 0, 75.25
2026/09/26 00:45:02.490, 3, 0, 97871, 0, 76.41
2026/09/26 00:45:02.691, 0, 0, 97871, 0, 73.51
2026/09/26 00:45:02.691, 1, 0, 97871, 0, 76.32
