timestamp,index,memory_used_mib,memory_total_mib,utilization_gpu_percent,power_watts
2026/09/26 00:06:56.233, 0, 0, 97871, 0, 72.44
2026/09/26 00:06:56.236, 1, 0, 97871, 0, 73.58
2026/09/26 00:06:56.240, 2, 0, 97871, 0, 73.82
2026/09/26 00:06:56.243, 3, 0, 97871, 0, 74.05
2026/09/26 00:06:56.447, 0, 0, 97871, 0, 72.48
2026/09/26 00:06:56.447, 1, 0, 97871, 0, 73.56
2026/09/26 00:06:56.447, 2, 0, 97871, 0, 73.82
2026/09/26 00:06:56.447, 3, 0, 97871, 0, 74.06
2026/09/26 00:06:56.647, 0, 0, 97871, 0, 72.49
2026/09/26 00:06:56.647, 1, 0, 97871, 0, 73.57
2026/09/26 00:06:56.647, 2, 0, 97871, 0, 73.80
2026/09/26 00:06:56.647, 3, 0, 97871, 0, 74.08
2026/09/26 00:06:56.847, 0, 0, 97871, 0, 72.51
2026/09/26 00:06:56.847, 1, 0, 97871, 0, 73.55
2026/09/26 00:06:56.847, 2, 0, 97871, 0, 73.79
2026/09/26 00:06:56.847, 3, 0, 97871, 0, 74.06
2026/09/26 00:06:57.047, 0, 0, 97871, 0, 72.51
2026/09/26 00:06:57.047, 1, 0, 97871, 0, 73.58
2026/09/26 00:06:57.047, 2, 0, 97871, 0, 73.81
2026/09/26 00:06:57.047, 3, 0, 97871, 0, 74.07
2026/09/26 00:06:57.247, 0, 0, 97871, 0, 72.51
2026/09/26 00:06:57.247, 1, 0, 97871, 0, 73.60
2026/09/26 00:06:57.247, 2, 0, 97871, 0, 73.79
2026/09/26 00:06:57.247, 3, 0, 97871, 0, 74.07
2026/09/26 00:06:57.447, 0, 0, 97871, 0, 72.54
2026/09/26 00:06:57.447, 1, 0, 97871, 0, 73.61
2026/09/26 00:06:57.447, 2, 0, 97871, 0, 73.78
2026/09/26 00:06:57.447, 3, 0, 97871, 0, 74.07
2026/09/26 00:06:57.648, 0, 0, 97871, 0, 72.50
2026/09/26 00:06:57.648, 1, 0, 97871, 0, 73.62
2026/09/26 00:06:57.648, 2, 0, 97871, 0, 73.78
2026/09/26 00:06:57.648, 3, 0, 97871, 0, 74.07
2026/09/26 00:06:57.848, 0, 0, 97871, 0, 72.54
2026/09/26 00:06:57.848, 1, 0, 97871, 0, 73.64
2026/09/26 00:06:57.848, 2, 0, 97871, 0, 73.76
2026/09/26 00:06:57.848, 3, 0, 97871, 0, 74.07
2026/09/26 00:06:58.048, 0, 0, 97871, 0, 72.49
2026/09/26 00:06:58.048, 1, 0, 97871, 0, 73.63
2026/09/26 00:06:58.048, 2, 0, 97871, 0, 73.76
2026/09/26 00:06:58.048, 3, 0, 97871, 0, 74.10
2026/09/26 00:06:58.248, 0, 0, 97871, 0, 72.51
2026/09/26 00:06:58.248, 1, 0, 97871, 0, 73.64
2026/09/26 00:06:58.248, 2, 0, 97871, 0, 73.76
2026/09/26 00:06:58.248, 3, 0, 97871, 0, 74.09
2026/09/26 00:06:58.448, 0, 0, 97871, 0, 72.43
2026/09/26 00:06:58.448, 1, 0, 97871, 0, 73.63
2026/09/26 00:06:58.448, 2, 0, 97871, 0, 73.77
2026/09/26 00:06:58.448, 3, 0, 97871, 0, 74.10
2026/09/26 00:06:58.648, 0, 0, 97871, 0, 72.47
2026/09/26 00:06:58.649, 1, 0, 97871, 0, 73.63
2026/09/26 00:06:58.649, 2, 0, 97871, 0, 73.78
2026/09/26 00:06:58.649, 3, 0, 97871, 0, 74.12
2026/09/26 00:06:58.849, 0, 0, 97871, 0, 72.39
2026/09/26 00:06:58.849, 1, 0, 97871, 0, 73.64
2026/09/26 00:06:58.849, 2, 0, 97871, 0, 73.79
2026/09/26 00:06:58.849, 3, 0, 97871, 0, 74.10
2026/09/26 00:06:59.049, 0, 0, 97871, 0, 72.44
2026/09/26 00:06:59.049, 1, 0, 97871, 0, 73.65
2026/09/26 00:06:59.049, 2, 0, 97871, 0, 73.77
2026/09/26 00:06:59.049, 3, 0, 97871, 0, 74.11
2026/09/26 00:06:59.249, 0, 0, 97871, 0, 72.38
2026/09/26 00:06:59.249, 1, 0, 97871, 0, 73.64
2026/09/26 00:06:59.249, 2, 0, 97871, 0, 73.78
2026/09/26 00:06:59.249, 3, 0, 97871, 0, 74.13
2026/09/26 00:06:59.449, 0, 0, 97871, 0, 72.43
2026/09/26 00:06:59.449, 1, 0, 97871, 0, 73.62
2026/09/26 00:06:59.449, 2, 0, 97871, 0, 73.77
2026/09/26 00:06:59.449, 3, 0, 97871, 0, 74.13
2026/09/26 00:06:59.649, 0, 0, 97871, 0, 72.40
2026/09/26 00:06:59.649, 1, 0, 97871, 0, 73.63
2026/09/26 00:06:59.649, 2, 0, 97871, 0, 73.77
2026/09/26 00:06:59.649, 3, 0, 97871, 0, 74.10
2026/09/26 00:06:59.849, 0, 0, 97871, 0, 72.43
2026/09/26 00:06:59.849, 1, 0, 97871, 0, 73.64
2026/09/26 00:06:59.849, 2, 0, 97871, 0, 73.77
2026/09/26 00:06:59.849, 3, 0, 97871, 0, 74.09
2026/09/26 00:07:00.050, 0, 0, 97871, 0, 72.43
2026/09/26 00:07:00.050, 1, 0, 97871, 0, 73.64
2026/09/26 00:07:00.050, 2, 0, 97871, 0, 73.77
2026/09/26 00:07:00.051, 3, 0, 97871, 0, 74.08
2026/09/26 00:07:00.251, 0, 0, 97871, 0, 72.43
2026/09/26 00:07:00.251, 1, 0, 97871, 0, 73.64
2026/09/26 00:07:00.251, 2, 0, 97871, 0, 73.78
2026/09/26 00:07:00.251, 3, 0, 97871, 0, 74.07
2026/09/26 00:07:00.451, 0, 0, 97871, 0, 72.45
2026/09/26 00:07:00.451, 1, 0, 97871, 0, 73.64
2026/09/26 00:07:00.451, 2, 0, 97871, 0, 73.79
2026/09/26 00:07:00.451, 3, 0, 97871, 0, 74.07
2026/09/26 00:07:00.651, 0, 0, 97871, 0, 72.44
2026/09/26 00:07:00.651, 1, 0, 97871, 0, 73.63
2026/09/26 00:07:00.652, 2, 0, 97871, 0, 73.82
2026/09/26 00:07:00.652, 3, 0, 97871, 0, 74.10
2026/09/26 00:07:00.852, 0, 0, 97871, 0, 72.47
2026/09/26 00:07:00.852, 1, 0, 97871, 0, 73.62
2026/09/26 00:07:00.852, 2, 0, 97871, 0, 73.84
2026/09/26 00:07:00.852, 3, 0, 97871, 0, 74.08
2026/09/26 00:07:01.052, 0, 0, 97871, 0, 72.46
2026/09/26 00:07:01.052, 1, 0, 97871, 0, 73.60
2026/09/26 00:07:01.052, 2, 0, 97871, 0, 73.85
2026/09/26 00:07:01.052, 3, 0, 97871, 0, 74.08
2026/09/26 00:07:01.252, 0, 0, 97871, 0, 72.51
2026/09/26 00:07:01.252, 1, 0, 97871, 0, 73.61
2026/09/26 00:07:01.252, 2, 0, 97871, 0, 73.84
2026/09/26 00:07:01.252, 3, 0, 97871, 0, 74.08
2026/09/26 00:07:01.452, 0, 0, 97871, 0, 72.47
2026/09/26 00:07:01.452, 1, 0, 97871, 0, 73.59
2026/09/26 00:07:01.452, 2, 0, 97871, 0, 73.84
2026/09/26 00:07:01.452, 3, 0, 97871, 0, 74.08
2026/09/26 00:07:01.652, 0, 0, 97871, 0, 72.52
2026/09/26 00:07:01.652, 1, 0, 97871, 0, 73.60
2026/09/26 00:07:01.652, 2, 0, 97871, 0, 73.83
2026/09/26 00:07:01.652, 3, 0, 97871, 0, 74.05
2026/09/26 00:07:01.852, 0, 0, 97871, 0, 72.43
2026/09/26 00:07:01.852, 1, 0, 97871, 0, 73.58
2026/09/26 00:07:01.852, 2, 0, 97871, 0, 73.81
2026/09/26 00:07:01.852, 3, 0, 97871, 0, 74.07
2026/09/26 00:07:02.053, 0, 0, 97871, 0, 72.46
2026/09/26 00:07:02.053, 1, 0, 97871, 0, 73.58
2026/09/26 00:07:02.053, 2, 0, 97871, 0, 73.79
2026/09/26 00:07:02.053, 3, 0, 97871, 0, 74.05
2026/09/26 00:07:02.253, 0, 0, 97871, 0, 72.35
2026/09/26 00:07:02.253, 1, 0, 97871, 0, 73.57
2026/09/26 00:07:02.253, 2, 0, 97871, 0, 73.80
2026/09/26 00:07:02.253, 3, 0, 97871, 0, 74.05
2026/09/26 00:07:02.453, 0, 0, 97871, 0, 72.38
2026/09/26 00:07:02.453, 1, 0, 97871, 0, 73.58
2026/09/26 00:07:02.453, 2, 0, 97871, 0, 73.79
2026/09/26 00:07:02.453, 3, 0, 97871, 0, 74.06
2026/09/26 00:07:02.653, 0, 0, 97871, 0, 72.31
2026/09/26 00:07:02.653, 1, 0, 97871, 0, 73.57
2026/09/26 00:07:02.653, 2, 0, 97871, 0, 73.76
2026/09/26 00:07:02.653, 3, 0, 97871, 0, 74.07
2026/09/26 00:07:02.853, 0, 0, 97871, 0, 72.40
2026/09/26 00:07:02.853, 1, 0, 97871, 0, 73.57
