timestamp,index,memory_used_mib,memory_total_mib,utilization_gpu_percent,power_watts
2026/09/24 20:19:58.455, 0, 0, 97871, 0, 79.81
2026/09/24 20:19:58.459, 1, 0, 97871, 0, 77.28
2026/09/24 20:19:58.462, 2, 0, 97871, 0, 105.55
2026/09/24 20:19:58.466, 3, 0, 97871, 0, 77.68
2026/09/24 20:19:58.669, 0, 0, 97871, 0, 75.25
2026/09/24 20:19:58.669, 1, 0, 97871, 0, 76.94
2026/09/24 20:19:58.669, 2, 0, 97871, 0, 96.67
2026/09/24 20:19:58.669, 3, 0, 97871, 0, 77.33
2026/09/24 20:19:58.869, 0, 0, 97871, 0, 74.85
2026/09/24 20:19:58.869, 1, 0, 97871, 0, 76.64
2026/09/24 20:19:58.869, 2, 0, 97871, 0, 87.69
2026/09/24 20:19:58.869, 3, 0, 97871, 0, 77.01
2026/09/24 20:19:59.069, 0, 0, 97871, 0, 74.52
2026/09/24 20:19:59.069, 1, 0, 97871, 0, 76.35
2026/09/24 20:19:59.069, 2, 0, 97871, 0, 79.53
2026/09/24 20:19:59.069, 3, 0, 97871, 0, 76.71
2026/09/24 20:19:59.270, 0, 0, 97871, 0, 74.25
2026/09/24 20:19:59.270, 1, 0, 97871, 0, 76.10
2026/09/24 20:19:59.270, 2, 0, 97871, 0, 75.96
2026/09/24 20:19:59.270, 3, 0, 97871, 0, 76.46
2026/09/24 20:19:59.470, 0, 0, 97871, 0, 73.99
2026/09/24 20:19:59.470, 1, 0, 97871, 0, 75.87
2026/09/24 20:19:59.470, 2, 0, 97871, 0, 75.68
2026/09/24 20:19:59.470, 3, 0, 97871, 0, 76.23
2026/09/24 20:19:59.670, 0, 0, 97871, 0, 73.75
2026/09/24 20:19:59.670, 1, 0, 97871, 0, 75.65
2026/09/24 20:19:59.670, 2, 0, 97871, 0, 75.39
2026/09/24 20:19:59.670, 3, 0, 97871, 0, 76.06
2026/09/24 20:19:59.870, 0, 0, 97871, 0, 73.60
2026/09/24 20:19:59.870, 1, 0, 97871, 0, 75.51
2026/09/24 20:19:59.870, 2, 0, 97871, 0, 75.15
2026/09/24 20:19:59.870, 3, 0, 97871, 0, 75.91
2026/09/24 20:20:00.070, 0, 0, 97871, 0, 73.43
2026/09/24 20:20:00.070, 1, 0, 97871, 0, 75.38
2026/09/24 20:20:00.070, 2, 0, 97871, 0, 74.97
2026/09/24 20:20:00.070, 3, 0, 97871, 0, 75.83
2026/09/24 20:20:00.270, 0, 0, 97871, 0, 73.32
2026/09/24 20:20:00.270, 1, 0, 97871, 0, 75.31
2026/09/24 20:20:00.270, 2, 0, 97871, 0, 74.84
2026/09/24 20:20:00.270, 3, 0, 97871, 0, 75.77
2026/09/24 20:20:00.470, 0, 0, 97871, 0, 73.23
2026/09/24 20:20:00.470, 1, 0, 97871, 0, 75.26
2026/09/24 20:20:00.470, 2, 0, 97871, 0, 74.69
2026/09/24 20:20:00.470, 3, 0, 97871, 0, 75.76
2026/09/24 20:20:00.671, 0, 0, 97871, 0, 73.16
2026/09/24 20:20:00.671, 1, 0, 97871, 0, 75.24
2026/09/24 20:20:00.671, 2, 0, 97871, 0, 74.64
2026/09/24 20:20:00.671, 3, 0, 97871, 0, 75.72
2026/09/24 20:20:00.871, 0, 0, 97871, 0, 73.15
2026/09/24 20:20:00.871, 1, 0, 97871, 0, 75.23
2026/09/24 20:20:00.871, 2, 0, 97871, 0, 74.61
2026/09/24 20:20:00.871, 3, 0, 97871, 0, 75.72
2026/09/24 20:20:01.071, 0, 0, 97871, 0, 73.10
2026/09/24 20:20:01.071, 1, 0, 97871, 0, 75.24
2026/09/24 20:20:01.071, 2, 0, 97871, 0, 74.61
2026/09/24 20:20:01.071, 3, 0, 97871, 0, 75.71
2026/09/24 20:20:01.271, 0, 0, 97871, 0, 73.12
2026/09/24 20:20:01.271, 1, 0, 97871, 0, 75.22
2026/09/24 20:20:01.271, 2, 0, 97871, 0, 74.57
2026/09/24 20:20:01.271, 3, 0, 97871, 0, 75.72
2026/09/24 20:20:01.471, 0, 0, 97871, 0, 73.09
2026/09/24 20:20:01.471, 1, 0, 97871, 0, 75.20
2026/09/24 20:20:01.471, 2, 0, 97871, 0, 74.59
2026/09/24 20:20:01.471, 3, 0, 97871, 0, 75.71
