timestamp,index,memory_used_mib,memory_total_mib,utilization_gpu_percent,power_watts
2026/09/26 00:14:28.570, 0, 0, 97871, 0, 74.20
2026/09/26 00:14:28.573, 1, 0, 97871, 0, 76.57
2026/09/26 00:14:28.577, 2, 0, 97871, 0, 76.25
2026/09/26 00:14:28.580, 3, 0, 97871, 0, 77.22
2026/09/26 00:14:28.784, 0, 0, 97871, 0, 73.99
2026/09/26 00:14:28.784, 1, 0, 97871, 0, 76.35
2026/09/26 00:14:28.784, 2, 0, 97871, 0, 75.99
2026/09/26 00:14:28.784, 3, 0, 97871, 0, 77.09
2026/09/26 00:14:28.984, 0, 0, 97871, 0, 73.82
2026/09/26 00:14:28.984, 1, 0, 97871, 0, 76.22
2026/09/26 00:14:28.984, 2, 0, 97871, 0, 75.81
2026/09/26 00:14:28.984, 3, 0, 97871, 0, 77.00
2026/09/26 00:14:29.184, 0, 0, 97871, 0, 73.71
2026/09/26 00:14:29.184, 1, 0, 97871, 0, 76.11
2026/09/26 00:14:29.184, 2, 0, 97871, 0, 75.66
2026/09/26 00:14:29.184, 3, 0, 97871, 0, 76.96
2026/09/26 00:14:29.384, 0, 0, 97871, 0, 73.64
2026/09/26 00:14:29.384, 1, 0, 97871, 0, 76.03
2026/09/26 00:14:29.384, 2, 0, 97871, 0, 75.52
2026/09/26 00:14:29.384, 3, 0, 97871, 0, 76.93
2026/09/26 00:14:29.584, 0, 0, 97871, 0, 73.59
2026/09/26 00:14:29.584, 1, 0, 97871, 0, 75.99
2026/09/26 00:14:29.584, 2, 0, 97871, 0, 75.41
2026/09/26 00:14:29.584, 3, 0, 97871, 0, 76.91
2026/09/26 00:14:29.784, 0, 0, 97871, 0, 73.57
2026/09/26 00:14:29.784, 1, 0, 97871, 0, 75.96
2026/09/26 00:14:29.784, 2, 0, 97871, 0, 75.37
2026/09/26 00:14:29.784, 3, 0, 97871, 0, 76.89
2026/09/26 00:14:29.984, 0, 0, 97871, 0, 73.56
2026/09/26 00:14:29.984, 1, 0, 97871, 0, 75.93
2026/09/26 00:14:29.984, 2, 0, 97871, 0, 75.37
2026/09/26 00:14:29.984, 3, 0, 97871, 0, 76.89
2026/09/26 00:14:30.185, 0, 0, 97871, 0, 73.56
2026/09/26 00:14:30.185, 1, 0, 97871, 0, 75.91
2026/09/26 00:14:30.185, 2, 0, 97871, 0, 75.31
2026/09/26 00:14:30.185, 3, 0, 97871, 0, 76.87
2026/09/26 00:14:30.385, 0, 0, 97871, 0, 73.51
2026/09/26 00:14:30.385, 1, 0, 97871, 0, 75.91
2026/09/26 00:14:30.385, 2, 0, 97871, 0, 75.32
2026/09/26 00:14:30.385, 3, 0, 97871, 0, 76.86
2026/09/26 00:14:30.585, 0, 0, 97871, 0, 73.50
2026/09/26 00:14:30.585, 1, 0, 97871, 0, 75.88
2026/09/26 00:14:30.585, 2, 0, 97871, 0, 75.32
2026/09/26 00:14:30.585, 3, 0, 97871, 0, 76.82
2026/09/26 00:14:30.785, 0, 0, 97871, 0, 73.50
2026/09/26 00:14:30.785, 1, 0, 97871, 0, 75.87
2026/09/26 00:14:30.785, 2, 0, 97871, 0, 75.32
2026/09/26 00:14:30.785, 3, 0, 97871, 0, 76.81
2026/09/26 00:14:30.985, 0, 0, 97871, 0, 73.49
2026/09/26 00:14:30.985, 1, 0, 97871, 0, 75.84
2026/09/26 00:14:30.985, 2, 0, 97871, 0, 75.27
2026/09/26 00:14:30.985, 3, 0, 97871, 0, 76.78
2026/09/26 00:14:31.185, 0, 0, 97871, 0, 73.48
2026/09/26 00:14:31.185, 1, 0, 97871, 0, 75.84
2026/09/26 00:14:31.185, 2, 0, 97871, 0, 75.30
2026/09/26 00:14:31.185, 3, 0, 97871, 0, 76.77
2026/09/26 00:14:31.385, 0, 0, 97871, 0, 73.48
2026/09/26 00:14:31.385, 1, 0, 97871, 0, 75.82
2026/09/26 00:14:31.385, 2, 0, 97871, 0, 75.31
2026/09/26 00:14:31.385, 3, 0, 97871, 0, 76.72
2026/09/26 00:14:31.586, 0, 0, 97871, 0, 73.48
2026/09/26 00:14:31.586, 1, 0, 97871, 0, 75.84
2026/09/26 00:14:31.586, 2, 0, 97871, 0, 75.29
2026/09/26 00:14:31.586, 3, 0, 97871, 0, 76.74
2026/09/26 00:14:31.786, 0, 0, 97871, 0, 73.48
2026/09/26 00:14:31.786, 1, 0, 97871, 0, 75.83
2026/09/26 00:14:31.786, 2, 0, 97871, 0, 75.27
2026/09/26 00:14:31.786, 3, 0, 97871, 0, 76.72
2026/09/26 00:14:31.986, 0, 0, 97871, 0, 73.47
