dual_bound,incumbent,layer_end,layer_start,layers,m,median_time_seconds,method,milp_binary_variables,mip_gap,mip_node_count,plan,plan_sha256,prune_ratio,relative_spread,relative_spread_percent,solver_message,solver_optimal,solver_reported_objective,solver_status,solver_success,spread,timing_repeats,warmup_runs
2688.0,2688.0,20,16,4,4,0.1336822840385139,milp_assignment,64,0.0,9,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.037267080745341616,3.7267080745341614,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,2688.0,0,True,2688.0,1,0
,9344.0,24,20,4,4,0.0005322110373526812,greedy_pairwise_swap,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.12960497114957834,12.960497114957834,sort initialization with local refinement,,,0,,9344.0,5,1
,9344.0,24,20,4,4,0.001230922993272543,greedy_full_bijection,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.12960497114957834,12.960497114957834,sort initialization with local refinement,,,0,,9344.0,5,1
4736.000000062573,4736.0,24,20,4,4,0.14497575513087213,milp_assignment,64,0.0,19,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.06569019085663559,6.569019085663559,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,4736.000000062573,0,True,4736.0,1,0
,3072.0,28,24,4,4,0.0005457189399749041,greedy_pairwise_swap,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.045714285714285714,4.571428571428571,sort initialization with local refinement,,,0,,3072.0,5,1
,3072.0,28,24,4,4,0.0012510360684245825,greedy_full_bijection,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.045714285714285714,4.571428571428571,sort initialization with local refinement,,,0,,3072.0,5,1
2943.9999999936044,2944.0,28,24,4,4,0.12019850988872349,milp_assignment,64,0.0,5,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.04380952380952381,4.380952380952381,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,2943.9999999936044,0,True,2944.0,1,0
,896.0,32,28,4,4,0.0007274860981851816,greedy_pairwise_swap,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.013257575757575758,1.3257575757575757,sort initialization with local refinement,,,0,,896.0,5,1
,896.0,32,28,4,4,0.0020267940126359463,greedy_full_bijection,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.013257575757575758,1.3257575757575757,sort initialization with local refinement,,,0,,896.0,5,1
896.0,896.0,32,28,4,4,0.08036612090654671,milp_assignment,64,0.0,22,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.013257575757575758,1.3257575757575757,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,896.0,0,True,896.0,1,0
,7424.0,36,32,4,4,0.0007605799473822117,greedy_pairwise_swap,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.10953729933899906,10.953729933899906,sort initialization with local refinement,,,0,,7424.0,5,1
,7424.0,36,32,4,4,0.0018156080041080713,greedy_full_bijection,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.10953729933899906,10.953729933899906,sort initialization with local refinement,,,0,,7424.0,5,1
1663.9999999928696,1664.0,36,32,4,4,0.11824285099282861,milp_assignment,64,0.0,12,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.024551463644948063,2.4551463644948064,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1663.9999999928696,0,True,1664.0,1,0
,1792.0,40,36,4,4,0.0006859460845589638,greedy_pairwise_swap,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.025878003696857672,2.5878003696857674,sort initialization with local refinement,,,0,,1792.0,5,1
,1792.0,40,36,4,4,0.0012267229612916708,greedy_full_bijection,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.025878003696857672,2.5878003696857674,sort initialization with local refinement,,,0,,1792.0,5,1
1792.0,1792.0,40,36,4,4,0.06295309099368751,milp_assignment,64,0.0,0,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.025878003696857672,2.5878003696857674,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1792.0,0,True,1792.0,1,0
,5376.0,44,40,4,4,0.0006829078774899244,greedy_pairwise_swap,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.07378129117259552,7.378129117259552,sort initialization with local refinement,,,0,,5376.0,5,1
,5376.0,44,40,4,4,0.0020731280092149973,greedy_full_bijection,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.07378129117259552,7.378129117259552,sort initialization with local refinement,,,0,,5376.0,5,1
5120.0,5120.0,44,40,4,4,0.024503582855686545,milp_assignment,64,0.0,1,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.07026789635485288,7.026789635485288,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,5120.0,0,True,5120.0,1,0
,20352.0,48,44,4,4,0.0003851167857646942,greedy_pairwise_swap,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.29390018484288355,29.390018484288355,sort initialization with local refinement,,,0,,20352.0,5,1
,20352.0,48,44,4,4,0.0007397870067507029,greedy_full_bijection,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.29390018484288355,29.390018484288355,sort initialization with local refinement,,,0,,20352.0,5,1
