layer,expert,loss_fn,beta_global,num_score_tokens,gradient_signed,gradient_abs,gradient_at_global_zero,ratio_to_global_zero_pct,ratio_valid,first_order_signed,first_order_abs
0,40,kl_div,0.0,4096,-2.1051855725318092e-07,2.1051855725318092e-07,-2.1051855725318092e-07,100.0,True,0.0,0.0
0,41,kl_div,0.0,4096,-1.0496240321344885e-07,1.0496240321344885e-07,-1.0496240321344885e-07,100.0,True,0.0,0.0
0,42,kl_div,0.0,4096,-1.353085821165223e-07,1.353085821165223e-07,-1.353085821165223e-07,100.0,True,0.0,0.0
0,43,kl_div,0.0,4096,-6.651334594209857e-08,6.651334594209857e-08,-6.651334594209857e-08,100.0,True,0.0,0.0
0,44,kl_div,0.0,4096,-1.4492018607370483e-07,1.4492018607370483e-07,-1.4492018607370483e-07,100.0,True,0.0,0.0
0,45,kl_div,0.0,4096,-1.8278566926710482e-07,1.8278566926710482e-07,-1.8278566926710482e-07,100.0,True,0.0,0.0
0,46,kl_div,0.0,4096,-1.1827098944650061e-07,1.1827098944650061e-07,-1.1827098944650061e-07,100.0,True,0.0,0.0
0,47,kl_div,0.0,4096,-7.185775174889386e-08,7.185775174889386e-08,-7.185775174889386e-08,100.0,True,0.0,0.0
0,48,kl_div,0.0,4096,-4.8730775858985e-08,4.8730775858985e-08,-4.8730775858985e-08,100.0,True,0.0,0.0
0,49,kl_div,0.0,4096,-1.4742547449486665e-07,1.4742547449486665e-07,-1.4742547449486665e-07,100.0,True,0.0,0.0
0,50,kl_div,0.0,4096,-3.357540094839351e-07,3.357540094839351e-07,-3.357540094839351e-07,100.0,True,0.0,0.0
0,51,kl_div,0.0,4096,-1.317887665663875e-07,1.317887665663875e-07,-1.317887665663875e-07,100.0,True,0.0,0.0
0,52,kl_div,0.0,4096,-1.1451821535501949e-07,1.1451821535501949e-07,-1.1451821535501949e-07,100.0,True,0.0,0.0
0,53,kl_div,0.0,4096,-2.0916769472023589e-07,2.0916769472023589e-07,-2.0916769472023589e-07,100.0,True,0.0,0.0
0,54,kl_div,0.0,4096,-8.333949352845593e-08,8.333949352845593e-08,-8.333949352845593e-08,100.0,True,0.0,0.0
0,55,kl_div,0.0,4096,-1.0490202839719132e-07,1.0490202839719132e-07,-1.0490202839719132e-07,100.0,True,0.0,0.0
