layer,expert,beta_global,signed_residual,absolute_residual,signed_residual_over_abs_g0_pct,ratio_deviation_percentage_points
0,32,0.95,4.8002091190830555e-11,4.8002091190830555e-11,0.03383347013072255,-0.033833470130722354
0,33,0.95,2.0036594605718256e-11,2.0036594605718256e-11,0.004984062981847754,-0.0049840629818476145
0,34,0.95,1.4513172885701915e-10,1.4513172885701915e-10,0.026196786297888987,-0.026196786297888686
0,35,0.95,1.4230792544367935e-09,1.4230792544367935e-09,0.12391774005210264,-0.12391774005210276
0,36,0.95,1.7060908241735441e-12,1.7060908241735441e-12,0.004035667515814501,-0.004035667515815078
0,37,0.95,-9.234391029612276e-12,9.234391029612276e-12,-0.004218980893534796,0.004218980893535118
0,38,0.95,4.2865710981108166e-13,4.2865710981108166e-13,0.0005440153966684957,-0.0005440153966684846
0,39,0.95,1.9167778475602997e-12,1.9167778475602997e-12,0.0015481927043631204,-0.0015481927043632382
0,40,0.95,-2.229842976929814e-11,2.229842976929814e-11,-0.010592144493219593,0.01059214449321999
0,41,0.95,9.495959574228852e-12,9.495959574228852e-12,0.00904701043755459,-0.009047010437554626
0,42,0.95,-1.944888694532559e-12,1.944888694532559e-12,-0.001437372755009508,0.0014373727550092141
0,43,0.95,4.82671680401865e-11,4.82671680401865e-11,0.07256764391646182,-0.07256764391646175
0,44,0.95,4.031681655192866e-11,4.031681655192866e-11,0.027820014343221976,-0.0278200143432219
0,45,0.95,5.538627334545659e-11,5.538627334545659e-11,0.030301212106798477,-0.03030121210679848
0,46,0.95,-2.2790214160239115e-12,2.2790214160239115e-12,-0.001926948803497427,0.0019269488034980853
0,47,0.95,1.0487655188743207e-11,1.0487655188743207e-11,0.014595022712917884,-0.014595022712917682
0,48,0.95,2.4341018090015083e-11,2.4341018090015083e-11,0.04994999086501734,-0.04994999086501739
0,49,0.95,-1.0088019308789044e-11,1.0088019308789044e-11,-0.006842792497941262,0.00684279249794173
0,50,0.95,6.229793569900873e-10,6.229793569900873e-10,0.1855463641216458,-0.18554636412164527
0,51,0.95,-2.3308022178922634e-12,2.3308022178922634e-12,-0.0017685894470513472,0.001768589447051383
0,52,0.95,-1.205124888764821e-12,1.205124888764821e-12,-0.0010523434067050354,0.0010523434067053472
0,53,0.95,2.8767512816330914e-10,2.8767512816330914e-10,0.13753324983959775,-0.13753324983959825
0,54,0.95,-1.0971756836393977e-11,1.0971756836393977e-11,-0.01316513500606734,0.01316513500606753
0,55,0.95,2.166888890546697e-12,2.166888890546697e-12,0.0020656310689648343,-0.002065631068965068
0,56,0.95,-1.2759926448771938e-11,1.2759926448771938e-11,-0.006896857908592485,0.006896857908592402
0,57,0.95,1.121302162232519e-09,1.121302162232519e-09,0.2229205542457707,-0.2229205542457704
0,58,0.95,-2.1106671965707454e-12,2.1106671965707454e-12,-0.0019520242320387935,0.0019520242320387737
0,59,0.95,6.786526896008334e-11,6.786526896008334e-11,0.0455403537497267,-0.045540353749726314
0,60,0.95,1.174832675588074e-10,1.174832675588074e-10,0.01972427646239548,-0.019724276462395274
0,61,0.95,1.9946186924358914e-10,1.9946186924358914e-10,0.07588501252646268,-0.07588501252646296
0,62,0.95,1.0592415833345017e-10,1.0592415833345017e-10,0.03595478247447497,-0.03595478247447481
0,63,0.95,2.363886864032148e-10,2.363886864032148e-10,0.03976726133726741,-0.03976726133726771
0,64,0.95,2.019845624090773e-10,2.019845624090773e-10,0.03172458451963699,-0.031724584519637666
0,65,0.95,2.6464537228323125e-10,2.6464537228323125e-10,0.06287282154526219,-0.06287282154526164
0,66,0.95,6.209432967811817e-12,6.209432967811817e-12,0.006439009596479193,-0.0064390095964794725
0,67,0.95,-2.7914559552659283e-12,2.7914559552659283e-12,-0.0011911739562221937,0.0011911739562222579
0,68,0.95,7.117213485232011e-11,7.117213485232011e-11,0.020893621119413213,-0.020893621119412842
0,69,0.95,2.5199087261292006e-11,2.5199087261292006e-11,0.016290685127194903,-0.01629068512719467
0,70,0.95,-1.2287948436021837e-13,1.2287948436021837e-13,-0.00010720474132285485,0.00010720474132330793
0,71,0.95,1.0512890558090207e-10,1.0512890558090207e-10,0.11984917273281144,-0.11984917273281148
0,72,0.95,-6.59849952452655e-13,6.59849952452655e-13,-0.0009733140394149367,0.0009733140394150297
0,73,0.95,3.1057001415038403e-11,3.1057001415038403e-11,0.053808766758405666,-0.05380876675840529
0,74,0.95,3.48356898883214e-12,3.48356898883214e-12,0.003143379390553591,-0.0031433793905533136
0,75,0.95,3.7389398244160906e-10,3.7389398244160906e-10,0.07772850756373653,-0.0777285075637364
0,76,0.95,5.280220705237186e-14,5.280220705237186e-14,0.00020395876239041047,-0.00020395876239032162
0,77,0.95,2.062083837025391e-12,2.062083837025391e-12,0.0012097261797316026,-0.001209726179731696
0,78,0.95,5.2082516077697044e-11,5.2082516077697044e-11,0.03407201261294289,-0.03407201261294279
0,79,0.95,-5.507416744860655e-12,5.507416744860655e-12,-0.0017085042645768958,0.0017085042645774706
0,80,0.95,9.625171770722591e-11,9.625171770722591e-11,0.05737158883796393,-0.057371588837964005
0,81,0.95,3.0417695029429756e-10,3.0417695029429756e-10,0.06934111853447354,-0.06934111853447344
0,82,0.95,7.098108767426114e-11,7.098108767426114e-11,0.009500373388254473,-0.009500373388254602
0,83,0.95,2.0499921760120957e-10,2.0499921760120957e-10,0.08243997164971176,-0.08243997164971173
0,84,0.95,1.0798707705817241e-09,1.0798707705817241e-09,0.1410897598621383,-0.14108975986213856
0,85,0.95,2.4760637984489427e-12,2.4760637984489427e-12,0.0012385183599307164,-0.0012385183599308291
0,86,0.95,1.2482548328315471e-11,1.2482548328315471e-11,0.0074658004600741245,-0.007465800460074057
0,87,0.95,7.803766521875878e-11,7.803766521875878e-11,0.021445358160960742,-0.02144535816096127
0,88,0.95,2.5488944288585627e-12,2.5488944288585627e-12,0.0035191364109433336,-0.0035191364109437018
0,89,0.95,-2.557065670237251e-13,2.557065670237251e-13,-0.00015296639618431532,0.00015296639618433971
0,90,0.95,3.75081743442278e-11,3.75081743442278e-11,0.06249846086416052,-0.062498460864160776
0,91,0.95,5.055191820703543e-11,5.055191820703543e-11,0.014867655081022543,-0.014867655081022946
0,92,0.95,-2.748024030514137e-13,2.748024030514137e-13,-0.0002939514073011182,0.00029395140730059666
